"Index","Date","Open","High","Low","Close","Volume","Adj.Close"
"1",2016-10-07,9.1,9.99,8,8.02,1793700,8.02
"2",2016-10-10,8,8.377,8,8,267600,8
"3",2016-10-11,8,8.14,7.45,7.5,282400,7.5
"4",2016-10-12,7.5,7.59,7.5,7.5,99000,7.5
"5",2016-10-13,7.5,7.628,6.15,6.78,145400,6.78
"6",2016-10-14,6.58,6.8,6.28,6.5,115300,6.5
"7",2016-10-17,6.65,6.69,6.25,6.69,162200,6.69
"8",2016-10-18,6.75,6.75,6.4,6.62,82100,6.62
"9",2016-10-19,6.75,6.75,6.4,6.56,22000,6.56
"10",2016-10-20,6.41,6.68,6.41,6.61,49400,6.61
"11",2016-10-21,6.51,6.65,6.45,6.5,90500,6.5
"12",2016-10-24,6.54,6.59,6.43,6.46,19100,6.46
"13",2016-10-25,6.46,6.693,6.25,6.33,57100,6.33
"14",2016-10-26,6.29,7.36,6.26,7.36,98000,7.36
"15",2016-10-27,7.3,7.65,6.86,7.5,275300,7.5
"16",2016-10-28,7.51,7.52,6.59,6.82,55300,6.82
"17",2016-10-31,6.88,6.9,6.59,6.66,39600,6.66
"18",2016-11-01,6.4,7.3,6.4,7.25,19000,7.25
"19",2016-11-02,7.42,7.42,6.75,6.98,54100,6.98
"20",2016-11-03,7.2,7.2,6.45,6.59,68400,6.59
"21",2016-11-04,6.93,7,6.47,6.87,44300,6.87
"22",2016-11-07,7.25,7.25,6.75,6.84,24000,6.84
"23",2016-11-08,6.87,7.19,6.75,7.04,19300,7.04
"24",2016-11-09,6.98,7.25,6.9,6.92,13200,6.92
"25",2016-11-10,7.25,7.25,6.9,7.03,9600,7.03
"26",2016-11-11,7,7,6.8,6.8,9700,6.8
"27",2016-11-14,6.8,7.165,6.772,6.93,36100,6.93
"28",2016-11-15,7.49,7.6,6.81,6.91,33900,6.91
"29",2016-11-16,7.2,7.528,6.95,6.96,17600,6.96
"30",2016-11-17,7.04,7.04,6.86,6.86,22800,6.86
"31",2016-11-18,7.48,7.48,6.8,7.2,30800,7.2
"32",2016-11-21,7.19,7.22,7,7.22,36600,7.22
"33",2016-11-22,7.2,7.25,7.15,7.23,27000,7.23
"34",2016-11-23,7.28,7.28,6.9,7.07,136900,7.07
"35",2016-11-25,7.07,7.29,7.07,7.29,9500,7.29
"36",2016-11-28,7.17,7.24,7,7.23,18400,7.23
"37",2016-11-29,7.17,7.33,7.15,7.33,21100,7.33
"38",2016-11-30,7.28,7.4,7.2,7.34,8300,7.34
"39",2016-12-01,7.35,7.59,7.3,7.5,22900,7.5
"40",2016-12-02,7.5,7.5,7.21,7.37,28200,7.37
"41",2016-12-05,7.44,7.64,7.17,7.39,42100,7.39
"42",2016-12-06,7.45,7.45,7.22,7.3,100700,7.3
"43",2016-12-07,7.28,7.5,7.28,7.35,29000,7.35
"44",2016-12-08,7.35,7.48,7.25,7.35,30800,7.35
"45",2016-12-09,7.35,7.35,7.2,7.34,21100,7.34
"46",2016-12-12,7.34,7.739,7.34,7.44,96700,7.44
"47",2016-12-13,7.45,7.45,7.36,7.44,44300,7.44
"48",2016-12-14,7.39,7.415,7.15,7.25,26700,7.25
"49",2016-12-15,7.4,7.44,7.15,7.17,26700,7.17
"50",2016-12-16,7.2,7.435,6.63,6.63,158100,6.63
"51",2016-12-19,6.77,7.135,6.77,6.91,38500,6.91
"52",2016-12-20,6.94,7.234,6.94,7.09,74600,7.09
"53",2016-12-21,7.12,7.34,7.06,7.07,71400,7.07
"54",2016-12-22,7.07,7.35,7.07,7.35,74000,7.35
"55",2016-12-23,7.36,7.45,7.154,7.33,23500,7.33
"56",2016-12-27,7.34,7.34,7.13,7.29,14800,7.29
"57",2016-12-28,7.5,7.5,7.28,7.28,28000,7.28
"58",2016-12-29,7.4,7.4,7.31,7.38,115500,7.38
"59",2016-12-30,7.5,8.3,7.34,8.29,67700,8.29
"60",2017-01-03,8.26,8.26,7.6,7.63,20700,7.63
"61",2017-01-04,7.65,7.939,7.3,7.61,14900,7.61
"62",2017-01-05,7.47,8.24,7.45,7.58,10100,7.58
"63",2017-01-06,7.73,8.189,7.64,7.66,102400,7.66
"64",2017-01-09,7.71,8.04,7.71,8,3500,8
"65",2017-01-10,8.02,8.08,7.77,7.775,5400,7.775
"66",2017-01-11,8.2,8.49,8,8.41,52300,8.41
"67",2017-01-12,8.6,8.6,8.03,8.03,29000,8.03
"68",2017-01-13,8.05,8.411,8.04,8.05,29300,8.05
"69",2017-01-17,8.03,8.205,8.03,8.11,35300,8.11
"70",2017-01-18,8.33,8.4,8.244,8.26,18300,8.26
"71",2017-01-19,8.47,8.5,8.22,8.24,32700,8.24
"72",2017-01-20,8.294,8.32,8.033,8.32,23000,8.32
"73",2017-01-23,8.32,8.32,8,8.25,20200,8.25
"74",2017-01-24,8.26,8.3,7.91,8.03,31000,8.03
"75",2017-01-25,8.03,8.32,8.03,8.18,31700,8.18
"76",2017-01-26,8.15,8.26,8.149,8.26,33200,8.26
"77",2017-01-27,8.43,8.44,8.21,8.24,10300,8.24
"78",2017-01-30,8.23,8.49,8.2,8.24,10400,8.24
"79",2017-01-31,8.45,8.45,8.01,8.11,16000,8.11
"80",2017-02-01,8.1,8.1,7.95,7.99,23700,7.99
"81",2017-02-02,7.86,8.01,7.86,7.97,24900,7.97
"82",2017-02-03,8.1,8.12,7.95,8.05,21900,8.05
"83",2017-02-06,7.99,8.1,7.94,8.01,5600,8.01
"84",2017-02-07,8.08,8.08,8,8,7800,8
"85",2017-02-08,7.93,8,7.9,7.92,40600,7.92
"86",2017-02-09,7.98,7.986,7.783,7.85,18600,7.85
"87",2017-02-10,7.85,8.02,7.85,7.99,3900,7.99
"88",2017-02-13,7.95,7.99,7.95,7.95,2000,7.95
"89",2017-02-14,7.95,8.71,7.95,8.7,114300,8.7
"90",2017-02-15,9.25,9.43,8.7,9.09,276600,9.09
"91",2017-02-16,9.18,9.38,8.82,9.04,42200,9.04
"92",2017-02-17,9.04,9.47,9.025,9.33,52900,9.33
"93",2017-02-21,9.44,10,9.413,9.99,120900,9.99
"94",2017-02-22,10.08,10.16,9.9,10.13,64300,10.13
"95",2017-02-23,10.22,10.22,9.76,9.91,41300,9.91
"96",2017-02-24,9.88,10.15,9.51,10.15,37900,10.15
"97",2017-02-27,10.19,10.19,9.79,9.87,17000,9.87
"98",2017-02-28,9.826,10.25,9.7,10.03,47600,10.03
"99",2017-03-01,10.05,10.278,9.59,9.78,48100,9.78
"100",2017-03-02,9.92,10.05,9.757,10.03,32100,10.03
"101",2017-03-03,9.97,9.97,8.95,9.01,79400,9.01
"102",2017-03-06,8.99,9.412,8.97,8.99,13500,8.99
"103",2017-03-07,8.95,9.05,8.91,9,22600,9
"104",2017-03-08,8.95,9.01,8.88,8.95,12800,8.95
"105",2017-03-09,8.9,8.96,8.73,8.79,22300,8.79
"106",2017-03-10,8.75,8.825,8.25,8.51,86800,8.51
"107",2017-03-13,8.58,8.58,8.38,8.5,34000,8.5
"108",2017-03-14,8.42,8.61,8.29,8.3,28300,8.3
"109",2017-03-15,8.32,8.364,7.56,7.56,42700,7.56
"110",2017-03-16,7.5,8.078,7.49,8.04,34800,8.04
"111",2017-03-17,8.16,8.38,8.01,8.09,29400,8.09
"112",2017-03-20,8.21,8.4,8,8.03,31800,8.03
"113",2017-03-21,7.97,8.2,7.5,7.5,32300,7.5
"114",2017-03-22,7.52,8.079,7.52,7.73,53400,7.73
"115",2017-03-23,7.69,8.02,7,7.8,57300,7.8
"116",2017-03-24,7.87,7.96,7.59,7.88,15800,7.88
"117",2017-03-27,7.81,8.06,7.61,7.65,24800,7.65
"118",2017-03-28,7.47,7.95,7.47,7.7,23700,7.7
"119",2017-03-29,7.5,7.85,7.5,7.82,18100,7.82
"120",2017-03-30,7.77,8.05,7.737,7.93,122500,7.93
"121",2017-03-31,7.98,8.93,7.958,8.38,135900,8.38
"122",2017-04-03,8.32,8.75,8.15,8.31,54500,8.31
"123",2017-04-04,8.348,8.5,8.15,8.15,68300,8.15
"124",2017-04-05,8.6,8.6,7.8,7.95,37900,7.95
"125",2017-04-06,8.02,8.9,7.9,8.89,54600,8.89
"126",2017-04-07,9.21,9.21,8.5,8.7,41700,8.7
"127",2017-04-10,8.89,8.92,8.5,8.5,7900,8.5
"128",2017-04-11,8.484,8.9,8.12,8.38,8200,8.38
"129",2017-04-12,8.38,8.78,8.29,8.59,14700,8.59
"130",2017-04-13,8.66,8.695,8.35,8.46,6100,8.46
"131",2017-04-17,8.59,8.78,8.403,8.741,8200,8.741
"132",2017-04-18,8.7,8.86,8.656,8.68,31400,8.68
"133",2017-04-19,8.68,9.22,8.68,9.16,67000,9.16
"134",2017-04-20,9.223,9.32,9.1,9.27,52700,9.27
"135",2017-04-21,9.37,9.4,8.82,9.15,40400,9.15
"136",2017-04-24,9.22,9.35,8.98,9.29,79800,9.29
"137",2017-04-25,9.39,9.73,9.02,9.41,74500,9.41
"138",2017-04-26,9.64,9.74,9.35,9.74,34500,9.74
"139",2017-04-27,9.98,9.98,9.27,9.3,36100,9.3
"140",2017-04-28,9.42,10,9.31,10,28800,10
"141",2017-05-01,10,10.1,9.76,10.02,105600,10.02
"142",2017-05-02,10.05,10.06,9.4,9.63,49700,9.63
"143",2017-05-03,9.6,9.6,8.868,9.34,15000,9.34
"144",2017-05-04,8.88,9.35,8.88,9.31,16000,9.31
"145",2017-05-05,9.25,9.25,9.1,9.21,5000,9.21
"146",2017-05-08,9.29,9.44,9.131,9.44,7900,9.44
"147",2017-05-09,9.3,9.585,9.23,9.5,22900,9.5
"148",2017-05-10,9.42,9.586,9.4,9.4,10400,9.4
"149",2017-05-11,9.43,9.712,9.11,9.11,41600,9.11
"150",2017-05-12,9.02,10.2,9.02,10.06,93800,10.06
"151",2017-05-15,10,10.615,9.88,10.16,51100,10.16
"152",2017-05-16,10.25,10.29,9.61,10.29,47500,10.29
"153",2017-05-17,9.69,9.75,9.03,9.34,82400,9.34
"154",2017-05-18,9.29,9.99,9.1,9.85,60700,9.85
"155",2017-05-19,9.8,9.9,9.39,9.9,24900,9.9
"156",2017-05-22,10.14,12,10.13,11.08,628200,11.08
"157",2017-05-23,11.9,12.7,11.49,12.49,432800,12.49
"158",2017-05-24,12.5,13.741,12.5,13.2,314100,13.2
"159",2017-05-25,13.5,13.65,11.64,12.97,292700,12.97
"160",2017-05-26,13,13.104,12.55,13.02,90700,13.02
"161",2017-05-30,13.16,14.75,12.75,14.57,265400,14.57
"162",2017-05-31,15.15,18.48,15.01,17.98,737600,17.98
"163",2017-06-01,18.5,20.5,17.32,17.85,736100,17.85
"164",2017-06-02,17.450001,17.6,15.05,16.639999,540400,16.639999
"165",2017-06-05,17.15,17.15,15.66,16.32,308700,16.32
"166",2017-06-06,16.35,16.726,15.81,15.96,253000,15.96
"167",2017-06-07,15.96,16.5,15.2,15.33,322100,15.33
"168",2017-06-08,15.2,18.26,14.77,18.030001,461300,18.030001
"169",2017-06-09,18.25,21.440001,16.549999,18.219999,627400,18.219999
"170",2017-06-12,17.860001,19.200001,17.035,17.76,192000,17.76
"171",2017-06-13,17.75,19.1,17.620001,18.59,226700,18.59
"172",2017-06-14,19,19,16.77,17.74,150300,17.74
"173",2017-06-15,17.9,18,17.01,17.43,92000,17.43
"174",2017-06-16,17.700001,19,17.134001,18.809999,415500,18.809999
"175",2017-06-19,19.1,20.049999,19.011,20,441500,20
"176",2017-06-20,20.389999,22,19.931,21.9,442000,21.9
"177",2017-06-21,21.700001,22.65,21.02,22.549999,349500,22.549999
"178",2017-06-22,22.809999,23.105,21.34,21.98,248400,21.98
"179",2017-06-23,21.84,21.84,19.709999,21.379999,282600,21.379999
"180",2017-06-26,21.190001,22.229,20.525,21.65,201300,21.65
"181",2017-06-27,21.379999,22,21.18,21.200001,192000,21.200001
"182",2017-06-28,20.950001,22.35,20.332001,21.889999,252400,21.889999
"183",2017-06-29,22,22,18.75,20.530001,374500,20.530001
"184",2017-06-30,20.719999,20.974001,19.49,19.98,141400,19.98
"185",2017-07-03,19.74,21.200001,19.74,21.18,102400,21.18
"186",2017-07-05,20.950001,23.32,20.408001,23.110001,311500,23.110001
"187",2017-07-06,23.209999,23.209999,22.09,22.35,241800,22.35
"188",2017-07-07,22.379999,22.950001,22.02,22.16,180000,22.16
"189",2017-07-10,22.309999,24.99,22.173,24.01,617400,24.01
"190",2017-07-11,24.25,24.83,23.51,23.98,209800,23.98
"191",2017-07-12,24.48,24.606001,23.07,23.07,219800,23.07
"192",2017-07-13,23.09,24.5,23.09,23.940001,184000,23.940001
"193",2017-07-14,24.07,24.99,23.809999,23.82,172200,23.82
"194",2017-07-17,23.85,24.9,23.85,24.879999,182700,24.879999
"195",2017-07-18,25.1,25.389999,23.049999,23.360001,281400,23.360001
"196",2017-07-19,23.24,23.500999,21.209999,21.91,473200,21.91
"197",2017-07-20,21.799999,21.914,20.01,20.67,424700,20.67
"198",2017-07-21,20.799999,21.790001,20.1,21.16,239600,21.16
"199",2017-07-24,21,21,18.07,18.469999,464200,18.469999
"200",2017-07-25,18.549999,18.77,17.120001,18.309999,467700,18.309999
"201",2017-07-26,18.190001,20.959999,18,20.84,524300,20.84
"202",2017-07-27,21,21.190001,19.51,19.809999,304100,19.809999
"203",2017-07-28,20.07,21.488001,19.780001,21.280001,258000,21.280001
"204",2017-07-31,21.309999,21.4,19.280001,19.440001,273200,19.440001
"205",2017-08-01,19.41,19.719999,19.02,19.32,151300,19.32
"206",2017-08-02,19.35,19.459999,17.733999,18.52,292700,18.52
"207",2017-08-03,18.52,18.945,17.74,17.889999,122900,17.889999
"208",2017-08-04,17.639999,18.190001,17.08,17.6,130500,17.6
"209",2017-08-07,17.65,17.98,16.645,17.76,236200,17.76
"210",2017-08-08,17.82,18.851999,17.733,18.639999,169800,18.639999
"211",2017-08-09,18.51,19.059999,17.641001,17.98,263300,17.98
"212",2017-08-10,15.26,16.52,14.14,15.23,1013300,15.23
"213",2017-08-11,15.1,15.59,14.23,14.48,336900,14.48
"214",2017-08-14,15.03,16.51,14.83,15.3,365200,15.3
"215",2017-08-15,15.56,16.014,14.5,14.75,155100,14.75
"216",2017-08-16,14.72,15.15,14.46,15.11,108900,15.11
"217",2017-08-17,15.14,15.19,14.48,14.7,217100,14.7
"218",2017-08-18,14.6,15.82,14.6,15.57,162000,15.57
"219",2017-08-21,15.59,15.686,14.73,14.92,133500,14.92
"220",2017-08-22,14.95,15.5,14.8,15.22,127900,15.22
"221",2017-08-23,15.48,17.950001,15.35,16.91,509000,16.91
"222",2017-08-24,16.9,17.933001,16.33,16.459999,298800,16.459999
"223",2017-08-25,16.42,16.593,15.05,15.17,206800,15.17
"224",2017-08-28,15.35,15.67,15,15.4,120500,15.4
"225",2017-08-29,15.32,15.59,15.1,15.41,92300,15.41
"226",2017-08-30,15.46,15.68,15.23,15.59,128500,15.59
"227",2017-08-31,15.59,16.575001,15.59,16.299999,250800,16.299999
"228",2017-09-01,16.43,16.93,16.02,16.25,189900,16.25
"229",2017-09-05,16.17,16.881001,15.67,16.02,138200,16.02
"230",2017-09-06,16.15,16.479,15.7,15.82,74800,15.82
"231",2017-09-07,15.84,16.280001,15.72,16.01,50400,16.01
"232",2017-09-08,16.02,16.069,15.75,15.89,52000,15.89
"233",2017-09-11,15.98,16.129999,15.75,15.84,82000,15.84
"234",2017-09-12,15.84,16.59,15.7,16.52,128500,16.52
"235",2017-09-13,16.549999,16.615,15.93,16.030001,73800,16.030001
"236",2017-09-14,15.91,16.209999,15.74,16,73000,16
"237",2017-09-15,16,16.98,15.86,16.950001,190000,16.950001
"238",2017-09-18,17.049999,17.5,16.790001,17.120001,139500,17.120001
"239",2017-09-19,17.200001,17.74,17.110001,17.709999,135100,17.709999
"240",2017-09-20,17.799999,18.959999,17.709999,18.58,367500,18.58
"241",2017-09-21,18.65,19.25,17.5,17.615,277400,17.615
"242",2017-09-22,17.57,17.625,16.5,16.65,199500,16.65
"243",2017-09-25,16.639999,17.35,15.7,15.98,145500,15.98
"244",2017-09-26,16.1,16.299999,15.7,15.92,87700,15.92
"245",2017-09-27,16.200001,16.93,15.999,16.389999,114900,16.389999
"246",2017-09-28,16.549999,17.267,16.462,17,115200,17
"247",2017-09-29,17.16,17.479,16.59,17.09,81800,17.09
"248",2017-10-02,17.15,17.162001,15.4,15.51,243800,15.51
"249",2017-10-03,15.45,16.190001,15.45,15.92,149100,15.92
"250",2017-10-04,15.77,15.86,15.5,15.65,80000,15.65
"251",2017-10-05,15.65,15.656,15.23,15.33,92000,15.33
"252",2017-10-06,15.16,15.2,13.09,13.37,529900,13.37
"253",2017-10-09,13.18,13.35,12.5,12.66,274900,12.66
"254",2017-10-10,12.08,12.59,11.49,11.72,644900,11.72
"255",2017-10-11,11.65,13.17,11.65,12.6,279300,12.6
"256",2017-10-12,12.4,13.11,12.4,12.52,238500,12.52
"257",2017-10-13,12.47,12.726,11.64,11.7,248700,11.7
"258",2017-10-16,11.81,12.054,11.28,11.31,215100,11.31
"259",2017-10-17,11.35,11.35,10.77,10.87,265900,10.87
"260",2017-10-18,10.72,10.87,10.55,10.81,177900,10.81
"261",2017-10-19,10.61,10.83,10.6,10.8,105000,10.8
"262",2017-10-20,10.79,11.43,10.78,11.17,145300,11.17
"263",2017-10-23,11.21,11.75,11.06,11.15,147600,11.15
"264",2017-10-24,11.15,11.972,11.15,11.78,153400,11.78
"265",2017-10-25,11.56,11.72,10.9,10.92,161700,10.92
"266",2017-10-26,10.86,10.91,10.42,10.53,161800,10.53
"267",2017-10-27,10.63,11.11,10.3,10.62,123600,10.62
"268",2017-10-30,10.61,10.68,10.2,10.35,113400,10.35
"269",2017-10-31,10.27,10.54,10.2,10.29,104000,10.29
"270",2017-11-01,10.29,10.29,9.41,9.49,201900,9.49
"271",2017-11-02,9.28,9.31,8.12,8.3,488200,8.3
"272",2017-11-03,8.22,8.35,8.05,8.12,177300,8.12
"273",2017-11-06,8.05,8.7,8.03,8.49,275800,8.49
"274",2017-11-07,8.56,8.95,8.15,8.89,221800,8.89
"275",2017-11-08,9.25,9.56,8.947,9.36,253900,9.36
"276",2017-11-09,9.29,9.305,8.64,8.9,110900,8.9
"277",2017-11-10,9.14,9.41,8.7,9.15,107300,9.15
"278",2017-11-13,9.05,9.87,8.92,9.62,280300,9.62
"279",2017-11-14,9.5,9.5,8.15,8.26,486600,8.26
"280",2017-11-15,8.11,8.36,7.77,7.8,206700,7.8
"281",2017-11-16,7.89,8.03,7.5,7.65,208500,7.65
"282",2017-11-17,7.66,8.15,7.36,7.98,195400,7.98
"283",2017-11-20,8.11,8.238,7.75,8.2,210600,8.2
"284",2017-11-21,8.33,9.4,8.23,9.02,363500,9.02
"285",2017-11-22,9.15,9.15,8.6,8.76,158300,8.76
"286",2017-11-24,8.91,8.92,8.64,8.82,40800,8.82
"287",2017-11-27,8.78,8.83,8.32,8.4,135200,8.4
"288",2017-11-28,8.43,8.45,8.3,8.31,69700,8.31
